feature,b,q,q_eff,N,n_spk,I_raw,I_mm,I_null_mean,I_null_p95,I_corrected,NMI_corrected,perm_p,deficient
NAQ,3,8,8,6290,630,1.3736429038533586,1.1739821672724615,0.6042106025805011,0.6194878220443045,0.5697715646919604,0.06127097743865433,0.0,False
NAQ,4,16,16,6290,630,1.7819958891191519,1.458478980506452,1.1873531468303211,1.2046709531423683,0.27112583367613086,0.029155798336808366,0.0,False
NAQ,5,32,32,6290,630,2.3384393358687614,1.9002407864858735,1.9449820215265954,1.957106102987263,0.0,0.0,0.0,False
NAQ,6,64,64,6290,630,3.063018857054475,2.5476395634332505,2.8154075029750674,2.8264598549032076,0.0,0.0,0.0,False
NAQ,7,128,128,6290,630,3.8797307245772004,3.312859374250162,3.7480879406477015,3.7563747403198144,0.0,0.0,0.0,False
NAQ,8,256,256,6290,630,4.779468939286922,4.193904481514342,4.713121474201298,4.718031303673055,0.0,0.0,0.0,False
RMS,1,2,2,6300,630,0.6187399421548463,0.5816420696748443,0.07619520984538632,0.08327296822232774,0.505446859829458,0.05435375344115761,0.0,False
RMS,2,4,4,6300,630,1.0864935181408821,0.9913443452060624,0.24617905065428153,0.2610430937209634,0.7451652945517808,0.08013212448612496,0.0,False
RMS,3,8,8,6300,630,1.4488516392428643,1.2591257914053235,0.6044485470417811,0.6213488737469663,0.6546772443635425,0.07040139795443356,0.0,False
RMS,4,16,16,6300,630,1.8479702592141525,1.5361878309331487,1.186728749481293,1.2012504636603016,0.34945908145185567,0.037579445557177765,0.0,False
RMS,5,32,32,6300,630,2.386413901128961,1.9609333636731365,1.9435442558302967,1.9551105668965647,0.017389107842839868,0.0018699557863913216,0.0,False
RMS,6,64,64,6300,630,3.075593146259605,2.5630929079247635,2.8138146853778356,2.8234327082318122,0.0,0.0,0.0,False
RMS,7,128,128,6300,630,3.8938096450018733,3.3312730786615976,3.7456054503174467,3.75338533357305,0.0,0.0,0.0,False
RMS,8,256,256,6300,630,4.793195760711427,4.2126827561632485,4.7107737686789255,4.716018454204737,0.0,0.0,0.0,False
SHR,1,2,2,6300,630,0.6214130172091767,0.5840861455163353,0.07627121678373386,0.08332732755921118,0.5078149287326015,0.05460840619206511,0.0,False
SHR,2,4,4,6300,630,1.0869183040804025,0.9898226378364469,0.2460026226686276,0.2627832235546574,0.7438200151678193,0.07998745846926615,0.0,False
SHR,3,8,8,6300,630,1.4064854140499499,1.2119505827427792,0.603932738155727,0.6210748893841626,0.6080178445870522,0.06538383090095645,0.0,False
SHR,4,16,16,6300,630,1.8107859694798325,1.4952250541869767,1.1849213764837772,1.2006261844009942,0.31030367770319955,0.033368828516325,0.0,False
SHR,5,32,32,6300,630,2.3458256399831203,1.9138186249613696,1.94517893355138,1.9582654969580158,0.0,0.0,0.0,False
SHR,6,64,64,6300,630,3.0404293135885645,2.520372101230019,2.813740592039908,2.8244632129931686,0.0,0.0,0.0,False
SHR,7,128,128,6300,630,3.861919625722839,3.2912535873267603,3.746207309732162,3.752988054404425,0.0,0.0,0.0,False
SHR,8,256,256,6300,630,4.770294501826534,4.18291152089317,4.711284972885316,4.716326032676977,0.0,0.0,0.0,False
SPI,1,2,2,6300,630,0.30439723416534115,0.24176594945373298,0.07619102498033913,0.08186459557453656,0.16557492447339384,0.017805271604420865,0.0,False
SPI,2,4,4,6300,630,0.5618839574421308,0.4005540119966904,0.2460347736568904,0.26014293951704276,0.1545192383398,0.016616386904591215,0.0,False
SPI,3,8,8,6300,630,0.8918030598829283,0.5971955725648884,0.6046085244382018,0.6212388423347074,0.0,0.0,0.0,False
SPI,4,16,16,6300,630,1.4044165012932055,0.9860349394354061,1.1865209020022014,1.2020995484289139,0.0,0.0,0.0,False
SPI,5,32,32,6300,630,2.09658342380186,1.5899226653944267,1.9438323522388514,1.9565339346530748,0.0,0.0,0.0,False
SPI,6,64,64,6300,630,2.8985818760276825,2.3323813222819743,2.813627390963244,2.8237621508905777,0.0,0.0,0.0,False
SPI,7,128,128,6300,630,3.792277325637915,3.198024368319366,3.746146885339596,3.7549602707743484,0.0,0.0,0.0,False
SPI,8,256,256,6300,630,4.733900182379685,4.1340367443465675,4.711480654938821,4.717272422458706,0.0,0.0,0.0,False
SQ,1,2,2,5824,629,0.40930600883004153,0.35096900983805135,0.08376166348622054,0.09196805315266561,0.2672073463518308,0.02873441972945255,0.0,False
SQ,2,4,4,5824,629,0.7822385644279564,0.6401737282415174,0.26906564381919756,0.281936024994409,0.37110808442231985,0.03990749359392,0.0,False
